Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
tif_ovrcache_49_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_ovrcache.c	49	TIFFCreateOvrCache	CWE-476	0	0		true
tiff-bi_64_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tiff-bi.c	64	main	CWE-476	0	0		true
tiff-grayscale_79_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:36	13	trigger_vuln_like_path	CWE-476	0	0	BUG-020	
tiff-grayscale_116_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	tiff-grayscale.c	116	main	CWE-476	0	0		true
tiff-palette_96_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	tiff-palette.c	96	main	CWE-476	0	0		true
tiff-palette_257_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tiff-palette.c	257	main	CWE-476	0	0		true
xtiff_453_divide-by-zero	NO_REPRODUCER	FP	divide-by-zero	xtiff.c	453	GetTIFFHeader	CWE-369	0	0		true
xtiff_407_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	xtiff.c	407	GetTIFFHeader	CWE-125	0	0		true
xtiff_999_double-free	SE_DETECTED	CONCRETE_CONFIRMED	attempting	xtiff.c	999	CreateXImage	CWE-415	0	0	BUG-031	
xtiff_762_integer-overflow-to-heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:64	31	GetTIFFImage	CWE-190	0	0	BUG-023	
xtiff_844_integer-overflow-to-heap-buffer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow-to-heap-buffer-overflow	xtiff.c	844	GetTIFFImage	CWE-190	0	0		true
xtiff_854_integer-overflow-to-heap-buffer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow-to-heap-buffer-overflow	xtiff.c	854	GetTIFFImage	CWE-190	0	0		true
xtiff_878_integer-overflow-to-heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:85	29	main	CWE-190	0	0	BUG-029	
xtiff_899_integer-overflow-to-heap-buffer-overflow	NO_REPRODUCER	FP	integer-overflow-to-heap-buffer-overflow	xtiff.c	899	GetTIFFImage	CWE-190	0	0		true
xtiff_1268_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	xtiff.c	1268	EventProc	CWE-125	0	0		true
iptcutil_113_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	iptcutil.c	113	formatString	CWE-125	0	0		true
